location,campus,date,day_of_week,meal_period,category,item
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,CHOPPED ROMAINE LETTUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED RED CABBAGE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,CHERRY TOMATOES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,TOMATO WEDGES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,CUCUMBERS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,BROCCOLI FLORETS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,CAULIFLOWER FLORETS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED CARROTS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,CHOPPED SWEET RED PEPPERS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,BABY CORN
